Fonte: www.ine.pt – Sistema de metainformação
Exportação de categorias - Data de extração: 15-09-2026.

Família,Territoriais
Classificação,Tipologia de áreas urbanas
Versão,"V05635 - Tipologia de áreas urbanas, 2025"
Tipo de exportação,Total
Data de referência,15-09-2026

Nível,Código,Designação
2,APU1115A,Amadora
3,111512,Alfragide
3,111513,Águas Livres
3,111514,Encosta do Sol
3,111515,Falagueira-Venda Nova
3,111516,Mina de Água
3,111517,Venteira
2,APU1116A,Odivelas
3,111603,Odivelas
3,111608,União das freguesias de Pontinha e Famões
3,111609,União das freguesias de Póvoa de Santo Adrião e Olival Basto
3,111610,União das freguesias de Ramada e Caneças
2,APU1204A,Campo Maior
3,120401,Nossa Senhora da Expectação
3,120403,São João Baptista
2,APU1207A,Elvas
3,120707,São Brás e São Lourenço
3,120712,"Assunção, Ajuda, Salvador e Santo Ildefonso"
3,120713,"Caia, São Pedro e Alcáçova"
2,APU1213A,Ponte de Sor
3,121308,"União das freguesias de Ponte de Sor, Tramaga e Vale de Açor"
2,APU1214A,Portalegre
3,121411,União das freguesias da Sé e São Lourenço
2,APU1301A,Amarante
3,130142,"União das freguesias de Amarante (São Gonçalo), Madalena, Cepelos e Gatão"
3,130144,União das freguesias de Figueiró (Santiago e Santa Cristina)
3,130147,Vila Meã
2,APU1301C,Figueiró (Santiago e Santa Cristina) 
2,APU1301B,Vila Meã
2,APU1303A,Felgueiras
3,130302,Airães
3,130305,Friande
3,130314,Pinheiro
3,130318,Regilde
3,130334,União das freguesias de Macieira da Lixa e Caramos
3,130335,"União das freguesias de Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure"
3,130336,"União das freguesias de Pedreira, Rande e Sernande"
3,130337,União das freguesias de Torrados e Sousa
3,130339,União das freguesias de Vila Cova da Lixa e Borba de Godim
3,130341,União das freguesias de Vila Verde e Santão
2,APU1304A,Gondomar
3,130408,Rio Tinto
3,130412,Baguim do Monte (Rio Tinto)
3,130413,União das freguesias de Fânzeres e São Pedro da Cova
3,130415,"União das freguesias de Gondomar (São Cosme), Valbom e Jovim"
2,APU1305A,Lousada
3,130502,Aveleda
3,130504,Caíde de Rei
3,130512,Macieira
3,130515,Nevogilde
3,130524,Sousela
