Fonte: www.ine.pt – Sistema de metainformação
Exportação de categorias - Data de extração: 15-09-2026.

Família,Territoriais
Classificação,Tipologia de áreas urbanas
Versão,"V05635 - Tipologia de áreas urbanas, 2025"
Tipo de exportação,Total
Data de referência,15-09-2026

Nível,Código,Designação
3,160626,"União das freguesias de Crasto, Ruivos e Grovelas"
3,160627,"União das freguesias de Entre Ambos-os-Rios, Ermida e Germil"
3,160629,União das freguesias de Touvedo (São Lourenço e Salvador)
3,160630,União das freguesias de Vila Chã (São João Baptista e Santiago)
3,160623,Vade (São Pedro)
2,APR1607A,Ponte de Lima (APR)
3,160753,"Ardegão, Freixo e Mato"
3,160754,Associação de freguesias do Vale do Neiva
3,160755,Bárrio e Cepões
3,160707,Beiral do Lima
3,160709,Boalhosa
3,160756,Cabaços e Fojo Lobal
3,160757,Cabração e Moreira do Lima
3,160713,Calheiros
3,160714,Calvelo
3,160717,Estorãos
3,160718,Facha
3,160724,Friastelas
3,160728,Gondufe
3,160729,Labruja
3,160759,"Labrujó, Rendufe e Vilar do Monte"
3,160760,Navió e Vitorino dos Piães
3,160734,Poiares
3,160703,São Pedro d'Arcos
3,160746,Serdedelo
2,APR1608A,Valença (APR)
3,160802,Boivão
3,160803,Cerdal
3,160805,Fontoura
3,160817,União das freguesias de Gandra e Taião
3,160818,União das freguesias de Gondomil e Sanfins
3,160819,União das freguesias de São Julião e Silva
3,160816,Verdoejo
2,APR1609A,Viana do Castelo (APR)
3,160901,Afife
3,160903,Amonde
3,160914,Freixieiro de Soutelo
3,160920,Montaria
3,160925,Outeiro
3,160945,"União das freguesias de Nogueira, Meixedo e Vilar de Murteda"
2,APR1610A,Vila Nova de Cerveira (APR)
3,161003,Cornes
3,161004,Covas
3,161009,Mentrestido
3,161012,Sapardos
3,161013,Sopo
3,161017,União das freguesias de Candemil e Gondar
3,161018,União das freguesias de Reboreda e Nogueira
2,APR1701A,Alijó (APR)
3,170107,Favaios
3,170108,Pegarinhos
3,170109,Pinhão
3,170112,Sanfins do Douro
3,170113,Santa Eugénia
3,170114,São Mamede de Ribatua
3,170120,União das freguesias de Carlão e Amieiro
3,170121,União das freguesias de Castedo e Cotas
3,170122,União das freguesias de Pópulo e Ribalonga
3,170123,"União das freguesias de Vale de Mendiz, Casal de Loivos e Vilarinho de Cotas"
3,170116,Vila Chã
3,170117,Vila Verde
3,170118,Vilar de Maçada
2,APR1702A,Boticas (APR)
3,170217,Alturas do Barroso e Cerdedo
3,170218,Ardãos e Bobadela
3,170203,Beça
3,170220,"Codessoso, Curros e Fiães do Tâmega"
3,170208,Covas do Barroso
3,170210,Dornelas
3,170213,Pinho
3,170215,Sapiãos
3,170221,Vilar e Viveiro
2,APR1703A,Chaves (APR)
3,170301,Águas Frias
3,170302,Anelhe
3,170305,Bustelo
3,170309,Cimo de Vila da Castanheira
3,170310,Curalha
3,170312,Ervededo
3,170313,Faiões
3,170314,Lama de Arcos
3,170316,Mairos
3,170317,Moreiras
3,170318,Nogueira da Montanha
3,170320,Oura
3,170322,Paradela
3,170353,Planalto de Monforte (União das freguesias de Oucidres e Bobadela)
3,170324,Redondelo
3,170327,Sanfins
3,170329,Santa Leocádia
3,170330,Santo António de Monforte
3,170331,Santo Estêvão
3,170333,São Pedro de Agostém
3,170334,São Vicente
3,170340,Tronco
3,170355,"União das freguesias das Eiras, São Julião de Montenegro e Cela"
3,170356,União das freguesias de Calvão e Soutelinho da Raia
3,170357,União das freguesias de Loivos e Póvoa de Agrações
3,170359,União das freguesias de Soutelo e Seara Velha
3,170360,União das freguesias de Travancas e Roriz
3,170361,"Vidago (União das freguesias de Vidago, Arcossó, Selhariz e Vilarinho das Paranheiras)"
3,170343,Vila Verde da Raia
3,170345,Vilarelho da Raia
3,170347,Vilas Boas
3,170349,Vilela do Tâmega
3,170348,Vilela Seca
2,APR1704A,Mesão Frio (APR)
3,170401,Barqueiros
3,170402,Cidadelhe
3,170403,Oliveira
3,170407,Vila Marim
2,APR1705A,Mondim de Basto (APR)
3,170501,Atei
3,170502,Bilhó
3,170509,União das freguesias de Campanhó e Paradança
3,170510,União das freguesias de Ermelo e Pardelhas
3,170508,Vilar de Ferreiros
2,APR1706A,Montalegre (APR)
3,170601,Cabril
3,170603,Cervos
3,170604,Chã
3,170607,Covelo do Gerês
3,170609,Ferral
3,170612,Gralhas
3,170616,Morgade
3,170618,Negrões
3,170619,Outeiro
3,170623,Pitões das Junias
3,170625,Reigoso
3,170626,Salto
3,170627,Santo André
3,170629,Sarraquinhos
3,170631,Solveira
3,170632,Tourém
3,170636,"União das freguesias de Cambeses do Rio, Donões e Mourilhe"
3,170637,União das freguesias de Meixedo e Padornelos
3,170639,"União das freguesias de Paradela, Contim e Fiães"
3,170640,União das freguesias de Sezelhe e Covelães
3,170641,União das freguesias de Venda Nova e Pondras
3,170642,União das freguesias de Viade de Baixo e Fervidelas
3,170643,União das freguesias de Vilar de Perdizes e Meixide
3,170635,Vila da Ponte
2,APR1707A,Murça (APR)
3,170701,Candedo
3,170703,Fiolhoso
3,170704,Jou
3,170710,União das freguesias de Carva e Vilares
3,170711,União das freguesias de Noura e Palheiros
3,170708,Valongo de Milhais
2,APR1708A,Peso da Régua (APR)
3,170809,Sedielos
3,170813,União das freguesias de Galafura e Covelinhas
3,170814,União das freguesias de Moura Morta e Vinhós
3,170816,União das freguesias de Poiares e Canelas
3,170810,Vilarinho dos Freires
2,APR1709A,Ribeira de Pena (APR)
3,170901,Alvadia
3,170902,Canedo
3,170906,Santa Marinha
3,170908,União das freguesias de Cerva e Limões
2,APR1710A,Sabrosa (APR)
3,171001,Celeirós
3,171002,Covas do Douro
3,171004,Gouvinhas
3,171007,Paços
3,171005,Parada de Pinhão
3,171011,São Lourenço de Ribapinhão
3,171013,Souto Maior
3,171014,Torre do Pinhão
3,171016,"União das freguesias de Provesende, Gouvães do Douro e São Cristóvão do Douro"
3,171017,União das freguesias de São Martinho de Antas e Paradela de Guiães
3,171015,Vilarinho de São Romão
2,APR1711A,Santa Marta de Penaguião (APR)
3,171101,Alvações do Corgo
3,171102,Cumieira
3,171103,Fontes
3,171110,Sever
3,171112,União das freguesias de Louredo e Fornelos
2,APR1712A,Valpaços (APR)
3,171201,Água Revés e Crasto
3,171203,Algeriz
3,171205,Bouçoães
3,171206,Canaveses
3,171232,Carrazedo de Montenegro e Curros
3,171209,Ervões
3,171211,Fornos do Pinhal
3,171212,Friões
3,171233,"Lebução, Fiães e Nozelos"
3,171215,Padrela e Tazem
3,171216,Possacos
3,171217,Rio Torto
3,171219,Santa Maria de Emeres
3,171220,Santa Valha
3,171221,Santiago da Ribeira de Alhariz
3,171222,São João da Corveira
3,171223,São Pedro de Veiga de Lila
3,171224,Serapicos
3,171234,Sonim e Barreiros
3,171235,Tinhela e Alvarelhos
3,171227,Vales
3,171229,Vassal
3,171230,Veiga de Lila
3,171231,Vilarandelo
2,APR1713A,Vila Pouca de Aguiar (APR)
3,171302,Alfarela de Jales
3,171319,Alvão
3,171303,Bornes de Aguiar
3,171304,Bragado
3,171305,Capeludos
3,171317,Sabroso de Aguiar
3,171310,Soutelo de Aguiar
3,171311,Telões
3,171312,Tresminas
3,171320,União das freguesias de Pensalvos e Parada de Monteiros
3,171313,Valoura
3,171315,Vreia de Bornes
3,171316,Vreia de Jales
2,APR1714A,Vila Real (APR)
3,171401,Abaças
3,171403,Andrães
3,171406,Campeã
3,171410,Guiães
3,171416,Mondrões
3,171426,Torgueda
3,171431,União das freguesias de Adoufe e Vilarinho de Samardã
3,171433,União das freguesias de Constantim e Vale de Nogueiras
3,171434,União das freguesias de Mouçós e Lamares
3,171435,União das freguesias de Nogueira e Ermida
3,171436,"União das freguesias de Pena, Quintã e Vila Cova"
3,171437,União das freguesias de São Tomé do Castelo e Justes
3,171429,Vila Marim
2,APR1801A,Armamar (APR)
3,180101,Aldeias
3,180104,Cimbres
3,180106,Folgosa
3,180107,Fontelo
3,180109,Queimada
3,180110,Queimadela
3,180111,Santa Cruz
3,180114,São Cosmado
3,180115,São Martinho das Chãs
3,180121,União das freguesias de Aricera e Goujoim
3,180122,União das freguesias de São Romão e Santiago
3,180123,União das freguesias de Vila Seca e Santo Adrião
3,180118,Vacalar
2,APR1802A,Carregal do Sal (APR)
3,180201,Beijós
3,180202,Cabanas de Viriato
3,180204,Oliveira do Conde
3,180206,Parada
2,APR1803A,Castro Daire (APR)
3,180301,Almofala
3,180303,Cabril
3,180305,Cujó
3,180309,Gosende
3,180312,Mões
3,180313,Moledo
3,180314,Monteiras
3,180317,Pepim
3,180319,Pinheiro
3,180322,São Joaninho
3,180323,"União das freguesias de Mamouros, Alva e Ribolhos"
3,180324,União das freguesias de Mezio e Moura Morta
3,180325,União das freguesias de Parada de Ester e Ester
3,180326,União das freguesias de Picão e Ermida
3,180327,União das freguesias de Reriz e Gafanhão
2,APR1804A,Cinfães (APR)
3,180405,Ferreiros de Tendais
3,180406,Fornelos
3,180408,Moimenta
3,180409,Nespereira
3,180410,Oliveira do Douro
3,180412,Santiago de Piães
3,180413,São Cristóvão de Nogueira
3,180416,Tendais
3,180418,"União das freguesias de Alhões, Bustelo, Gralheira e Ramires"
2,APR1805A,Lamego (APR)
3,180502,Avões
3,180504,Britiande
3,180505,Cambres
3,180509,Figueira
3,180510,Lalim
3,180511,Lazarim
3,180516,Penajóia
3,180517,Penude
3,180519,Samodães
3,180526,"União das freguesias de Bigorne, Magueija e Pretarouca"
3,180527,"União das freguesias de Cepões, Meijinhos e Melcões"
3,180528,União das freguesias de Parada do Bispo e Valdigem
3,180523,Várzea de Abrunhais
3,180524,Vila Nova de Souto d'El-Rei
2,APR1806A,Mangualde (APR)
3,180601,Abrunhosa-a-Velha
3,180602,Alcafache
3,180605,Cunha Baixa
3,180606,Espinho
3,180607,Fornos de Maceira Dão
3,180608,Freixiosa
3,180614,Quintela de Azurara
3,180616,São João da Fresta
3,180620,União das freguesias de Moimenta de Maceira Dão e Lobelhe do Mato
3,180621,União das freguesias de Santiago de Cassurrães e Póvoa de Cervães
3,180622,"União das freguesias de Tavares (Chãs, Várzea e Travanca)"
2,APR1807A,Moimenta da Beira (APR)
3,180702,Alvite
3,180703,Arcozelos
3,180705,Baldos
3,180706,Cabaços
3,180707,Caria
3,180708,Castelo
3,180709,Leomil
3,180713,Passô
3,180717,Sarzedo
3,180719,Sever
3,180721,União das freguesias de Paradinha e Nagosa
3,180722,"União das freguesias de Pêra Velha, Aldeia de Nacomba e Ariz"
3,180723,União das freguesias de Peva e Segões
3,180716,Vila da Rua
3,180720,Vilar
2,APR1808A,Mortágua (APR)
3,180802,Cercosa
3,180804,Espinho
3,180805,Marmeleira
3,180807,Pala
3,180808,Sobral
3,180809,Trezói
2,APR1809A,Nelas (APR)
3,180908,Lapa do Lobo
3,180905,Senhorim
3,180910,União das freguesias de Carvalhal Redondo e Aguieira
3,180911,União das freguesias de Santar e Moreira
3,180906,Vilar Seco
2,APR1810A,Oliveira de Frades (APR)
3,181002,Arcozelo das Maias
3,181005,Pinheiro
3,181007,Ribeiradio
3,181008,São João da Serra
3,181013,União das freguesias de Arca e Varzielas
3,181014,União das freguesias de Destriz e Reigoso
2,APR1811A,Penalva do Castelo (APR)
3,181102,Castelo de Penalva
3,181103,Esmolfe
3,181104,Germil
3,181106,Lusinde
3,181110,Real
3,181111,Sezures
3,181112,Trancozelos
3,181114,União das freguesias de Antas e Matela
3,181115,União das freguesias de Vila Cova do Covelo/Mareco
2,APR1812A,Penedono (APR)
3,181202,Beselga
3,181203,Castainço
3,181207,Penela da Beira
3,181208,Póvoa de Penela
3,181209,Souto
3,181210,União das freguesias de Antas e Ourozinho
2,APR1813A,Resende (APR)
3,181302,Barrô
3,181303,Cárquere
3,181310,Paus
3,181312,São Cipriano
3,181313,São João de Fontoura
3,181314,São Martinho de Mouros
3,181317,União das freguesias de Felgueiras e Feirão
3,181318,União das freguesias de Freigil e Miomães
3,181319,União das freguesias de Ovadas e Panchorra
2,APR1814A,Santa Comba Dão (APR)
3,181403,Pinheiro de Ázere
3,181405,São Joaninho
3,181406,São João de Areias
3,181410,União das freguesias de Ovoa e Vimieiro
3,181412,União das freguesias de Treixedo e Nagozela
2,APR1815A,São João da Pesqueira (APR)
3,181501,Castanheiro do Sul
3,181502,Ervedosa do Douro
3,181504,Nagozelo do Douro
3,181505,Paredes da Beira
3,181507,Riodades
3,181509,Soutelo do Douro
3,181516,União das freguesias de Trevões e Espinhosa
3,181517,União das freguesias de Vilarouco e Pereiros
3,181511,Vale de Figueira
3,181512,Valongo dos Azeites
2,APR1816A,São Pedro do Sul (APR)
3,181602,Bordonhos
3,181606,Figueiredo de Alva
3,181607,Manhouce
3,181608,Pindelo dos Milagres
3,181609,Pinho
3,181612,São Félix
3,181615,Serrazes
3,181616,Sul
3,181620,União das freguesias de Carvalhais e Candal
3,181621,União das freguesias de Santa Cruz da Trapa e São Cristóvão de Lafões
3,181622,União das freguesias de São Martinho das Moitas e Covas do Rio
3,181617,Valadares
3,181619,Vila Maior
2,APR1817A,Sátão (APR)
3,181702,Avelal
3,181704,Ferreira de Aves
3,181706,Mioma
3,181707,Rio de Moinhos
3,181709,São Miguel de Vila Boa
3,181711,Silvã de Cima
3,181713,União das freguesias de Águas Boas e Forles
3,181714,"União das freguesias de Romãs, Decermilo e Vila Longa"
2,APR1818A,Sernancelhe (APR)
3,181801,Arnas
3,181802,Carregal
3,181803,Chosendo
3,181804,Cunha
3,181806,Faia
3,181810,Granjal
3,181811,Lamosa
3,181814,Quintela
3,181818,União das freguesias de Ferreirim e Macieira
3,181819,União das freguesias de Fonte Arcada e Escurquela
3,181820,União das freguesias de Penso e Freixinho
3,181817,Vila da Ponte
2,APR1819A,Tabuaço (APR)
3,181901,Adorigo
3,181902,Arcos
3,181904,Chavães
3,181905,Desejosa
3,181906,Granja do Tedo
3,181908,Longa
3,181913,Sendim
3,181918,União das freguesias de Barcos e Santa Leocádia
3,181919,União das freguesias de Paradela e Granjinha
3,181920,União das freguesias de Pinheiros e Vale de Figueira
3,181921,União das freguesias de Távora e Pereiro
3,181917,Valença do Douro
2,APR1820A,Tarouca (APR)
3,182004,Mondim da Beira
3,182005,Salzedas
3,182006,São João de Tarouca
3,182012,União das freguesias de Granja Nova e Vila Chã da Beira
3,182009,Várzea da Serra
2,APR1821A,Tondela (APR)
3,182105,Castelões
3,182106,Dardavaz
3,182107,Ferreirós do Dão
3,182108,Guardão
3,182109,Lajeosa do Dão
3,182110,Lobão da Beira
3,182116,Parada de Gonta
3,182118,Santiago de Besteiros
3,182122,Tonda
3,182127,União das freguesias de Barreiro de Besteiros e Tourigo
3,182128,União das freguesias de Caparrosa e Silvares
3,182129,União das freguesias de Mouraz e Vila Nova da Rainha
3,182130,União das freguesias de São João do Monte e Mosteirinho
3,182131,União das freguesias de São Miguel do Outeiro e Sabugosa
3,182133,União das freguesias de Vilar de Besteiros e Mosteiro de Fráguas
2,APR1822A,Vila Nova de Paiva (APR)
3,182203,Pendilhe
3,182204,Queiriga
3,182205,Touro
3,182206,Vila Cova à Coelheira
2,APR1823A,Viseu (APR)
3,182304,Bodiosa
3,182305,Calde
3,182307,Cavernães
3,182310,Cota
3,182337,Coutos de Viseu
3,182338,Freguesia de Fail e Vila Chã de Sá
3,182316,Lordosa
3,182318,Mundão
3,182320,Povolide
3,182322,Ribafeita
3,182325,Santos Evos
3,182340,São Cipriano e Vil de Souto
3,182329,São Pedro de France
3,182317,Silgueiros
3,182335,União das freguesias de Barreiros e Cepões
3,182336,"União das freguesias de Boa Aldeia, Farminhão e Torredeita"
2,APR1824A,Vouzela (APR)
3,182401,Alcofra
3,182403,Campia
3,182407,Fornelo do Monte
3,182409,Queirã
3,182410,São Miguel do Mato
3,182413,União das freguesias de Cambra e Carvalhal de Vermilhas
3,182414,União das freguesias de Fataunços e Figueiredo das Donas
3,182411,Ventosa
2,APR3101A,Calheta (APR)
3,310103,Estreito da Calheta
3,310104,Fajã da Ovelha
3,310107,Ponta do Pargo
3,310108,Prazeres
2,APR3102A,Câmara de Lobos (APR)
3,310202,Curral das Freiras
2,APR3104A,Machico (APR)
3,310404,Porto da Cruz
2,APR3106A,Porto Moniz (APR)
3,310601,Achadas da Cruz
3,310603,Ribeira da Janela
3,310604,Seixal
2,APR3107A,Ribeira Brava (APR)
3,310703,Serra de Água
3,310704,Tabua
2,APR3108A,Santa Cruz (APR)
3,310806,Santo António da Serra
2,APR3109A,Santana (APR)
3,310902,Faial
3,310906,Ilha
3,310904,São Jorge
3,310905,São Roque do Faial
2,APR3110A,São Vicente (APR)
3,311001,Boa Ventura
3,311002,Ponta Delgada
2,APR4101A,Vila do Porto (APR)
3,410101,Almagreira
3,410102,Santa Bárbara
3,410103,Santo Espírito
3,410104,São Pedro
2,APR4202A,Nordeste (APR)
3,420201,Achada
3,420202,Achadinha
3,420208,Algarvia
3,420203,Lomba da Fazenda
3,420206,Salga
3,420207,Santana
3,420209,Santo António de Nordestinho
3,420210,São Pedro de Nordestinho
2,APR4203A,Ponta Delgada (APR)
3,420323,Ajuda da Bretanha
3,420303,Candelária
3,420305,Covoada
3,420309,Feteiras
3,420310,Ginetes
3,420311,Mosteiros
3,420324,Pilar da Bretanha
3,420316,Remédios
3,420319,Santa Bárbara
3,420322,Sete Cidades
2,APR4204A,Povoação (APR)
3,420401,Água Retorta
3,420402,Faial da Terra
3,420403,Furnas
3,420404,Nossa Senhora dos Remédios
3,420406,Ribeira Quente
2,APR4205A,Ribeira Grande (APR)
3,420502,Fenais da Ajuda
3,420503,Lomba da Maia
3,420504,Lomba de São Pedro
3,420505,Maia
3,420513,Santa Bárbara
3,420514,São Brás
2,APR4206A,Vila Franca do Campo (APR)
3,420601,Água de Alto
3,420603,Ribeira das Tainhas
2,APR4301A,Angra do Heroísmo (APR)
3,430101,Altares
3,430106,Cinco Ribeiras
3,430107,Doze Ribeiras
3,430109,Porto Judeu
3,430110,Posto Santo
3,430111,Raminho
3,430113,Santa Bárbara
3,430114,São Bartolomeu de Regatos
3,430117,Serreta
3,430119,Vila de São Sebastião
2,APR4302A,Vila da Praia da Vitória (APR)
3,430201,Agualva
3,430202,Biscoitos
3,430205,Fontinhas
3,430208,Quatro Ribeiras
2,APR4401A,Santa Cruz da Graciosa (APR)
3,440101,Guadalupe
3,440102,Luz
3,440103,São Mateus
2,APR4501A,Calheta  (APR)
3,450102,Norte Pequeno
3,450103,Ribeira Seca
3,450104,Santo Antão
3,450105,Topo (Nossa Senhora do Rosário)
2,APR4502A,Velas (APR)
3,450201,Manadas (Santa Bárbara)
3,450202,Norte Grande (Neves)
3,450203,Rosais
3,450204,Santo Amaro
3,450205,Urzelina (São Mateus)
2,APR4601A,Lajes do Pico (APR)
3,460101,Calheta de Nesquim
3,460103,Piedade
3,460104,Ribeiras
3,460105,Ribeirinha
3,460106,São João
2,APR4602A,Madalena (APR)
3,460201,Bandeiras
3,460202,Candelária
3,460203,Criação Velha
3,460205,São Caetano
3,460206,São Mateus
2,APR4603A,São Roque do Pico (APR)
3,460301,Prainha
3,460302,Santa Luzia
3,460303,Santo Amaro
3,460304,Santo António
2,APR4701A,Horta (APR)
3,470101,Capelo
3,470102,Castelo Branco
3,470103,Cedros
3,470105,Flamengos
3,470109,Pedro Miguel
3,470110,Praia do Almoxarife
3,470111,Praia do Norte
3,470112,Ribeirinha
3,470113,Salão
2,APR4801A,Lajes das Flores (APR)
3,480101,Fajã Grande
3,480102,Fajãzinha
3,480103,Fazenda
3,480104,Lajedo
3,480106,Lomba
3,480107,Mosteiro
2,APR4802A,Santa Cruz das Flores (APR)
3,480201,Caveira
3,480202,Cedros
3,480203,Ponta Delgada
